"Story","Title","Result","Date","Stability","Duration (s)"
"Add User","Add user using correct value","SUCCESS","2022-12-22T18:48:24.536+07:00[Asia/Bangkok]","0.0","12.44"
"Add User","Add user with registered value","SUCCESS","2022-12-22T18:48:38.045+07:00[Asia/Bangkok]","0.0","11.67"
"Add User","Add user using incorrect email","SUCCESS","2022-12-22T18:48:51.207+07:00[Asia/Bangkok]","0.0","11.72"
"Add User","Add user using incorect phone number","SUCCESS","2022-12-22T18:49:04.221+07:00[Asia/Bangkok]","0.0","13.44"
"Add User","Add user with no name","SUCCESS","2022-12-22T18:49:20.878+07:00[Asia/Bangkok]","0.0","9.97"
"Add User","Add user with no email","SUCCESS","2022-12-22T18:49:31.96+07:00[Asia/Bangkok]","0.0","11.77"
"Add User","Add user with no phone number","SUCCESS","2022-12-22T18:49:45.16+07:00[Asia/Bangkok]","0.0","11.54"
"Add User","Add user with no password","SUCCESS","2022-12-22T18:49:58.058+07:00[Asia/Bangkok]","0.0","12.17"
"Delete User","Delete registered user","SUCCESS","2022-12-22T18:50:11.525+07:00[Asia/Bangkok]","0.0","11.29"
"Edit User","Edit user with correct value","SUCCESS","2022-12-22T18:50:23.984+07:00[Asia/Bangkok]","0.0","12.26"
"Edit User","Edit user with no name","SUCCESS","2022-12-22T18:50:37.082+07:00[Asia/Bangkok]","0.0","12.01"
"Edit User","Edit user with wrong email","SUCCESS","2022-12-22T18:50:49.982+07:00[Asia/Bangkok]","0.0","12.25"
"Edit User","Edit user with no email","SUCCESS","2022-12-22T18:51:03.459+07:00[Asia/Bangkok]","0.0","11.33"
"Edit User","Edit user with wrong phone number","SUCCESS","2022-12-22T18:51:15.865+07:00[Asia/Bangkok]","0.0","11.46"
"Edit User","Edit user with no phone number","SUCCESS","2022-12-22T18:51:28.399+07:00[Asia/Bangkok]","0.0","10.93"
"List User","View list all users","SUCCESS","2022-12-22T18:51:40.512+07:00[Asia/Bangkok]","0.0","9.2"
