"Story","Title","Result","Date","Stability","Duration (s)"
"Login Page","Login with valid email and Password","SUCCESS","2022-12-22T18:43:50.529+07:00[Asia/Bangkok]","0.0","16.74"
"Add Admin","Add admin using incorrect email","PENDING","2022-12-22T18:46:00.896+07:00[Asia/Bangkok]","0.0","10.04"
"Add Admin","Add admin with no email","PENDING","2022-12-22T18:46:33.204+07:00[Asia/Bangkok]","0.0","10.02"
"Add Admin","Add admin with no phone number","PENDING","2022-12-22T18:46:44.312+07:00[Asia/Bangkok]","0.0","10.14"
"Add Admin","Add admin with no password","SUCCESS","2022-12-22T18:46:55.538+07:00[Asia/Bangkok]","0.0","11.94"
"Edit Admin","Edit admin with correct value","SUCCESS","2022-12-22T18:47:20.83+07:00[Asia/Bangkok]","0.0","11.89"
"Edit Admin","Edit admin with no name","SUCCESS","2022-12-22T18:47:33.561+07:00[Asia/Bangkok]","0.0","11.4"
"Edit Admin","Edit admin with wrong email","SUCCESS","2022-12-22T18:47:46.055+07:00[Asia/Bangkok]","0.0","13.72"
"Add User","Add user using correct value","SUCCESS","2022-12-22T18:48:24.536+07:00[Asia/Bangkok]","0.0","12.44"
"Add User","Add user with registered value","SUCCESS","2022-12-22T18:48:38.045+07:00[Asia/Bangkok]","0.0","11.67"
"Add User","Add user using incorrect email","SUCCESS","2022-12-22T18:48:51.207+07:00[Asia/Bangkok]","0.0","11.72"
"Add User","Add user using incorect phone number","SUCCESS","2022-12-22T18:49:04.221+07:00[Asia/Bangkok]","0.0","13.44"
"Add User","Add user with no email","SUCCESS","2022-12-22T18:49:31.96+07:00[Asia/Bangkok]","0.0","11.77"
"Add User","Add user with no phone number","SUCCESS","2022-12-22T18:49:45.16+07:00[Asia/Bangkok]","0.0","11.54"
"Add User","Add user with no password","SUCCESS","2022-12-22T18:49:58.058+07:00[Asia/Bangkok]","0.0","12.17"
"Delete User","Delete registered user","SUCCESS","2022-12-22T18:50:11.525+07:00[Asia/Bangkok]","0.0","11.29"
"Edit User","Edit user with correct value","SUCCESS","2022-12-22T18:50:23.984+07:00[Asia/Bangkok]","0.0","12.26"
"Edit User","Edit user with no name","SUCCESS","2022-12-22T18:50:37.082+07:00[Asia/Bangkok]","0.0","12.01"
"Edit User","Edit user with wrong email","SUCCESS","2022-12-22T18:50:49.982+07:00[Asia/Bangkok]","0.0","12.25"
"Edit User","Edit user with no email","SUCCESS","2022-12-22T18:51:03.459+07:00[Asia/Bangkok]","0.0","11.33"
"Edit User","Edit user with wrong phone number","SUCCESS","2022-12-22T18:51:15.865+07:00[Asia/Bangkok]","0.0","11.46"
"Edit User","Edit user with no phone number","SUCCESS","2022-12-22T18:51:28.399+07:00[Asia/Bangkok]","0.0","10.93"
"Add Paket Data Simpati","Add paket data simpati with correct value","SUCCESS","2022-12-22T18:51:50.7+07:00[Asia/Bangkok]","0.0","13.95"
"Add Paket Data Simpati","Add paket data simpati with no nama produk","SUCCESS","2022-12-22T18:52:05.723+07:00[Asia/Bangkok]","0.0","12.6"
"Add Paket Data Simpati","Add paket data simpati with no stock produk","SUCCESS","2022-12-22T18:52:21.462+07:00[Asia/Bangkok]","0.0","11.47"
"Add Paket Data Simpati","Add paket data simpati with no harga produk","SUCCESS","2022-12-22T18:52:34.079+07:00[Asia/Bangkok]","0.0","13.31"
"Delete Paket Data Simpati","Delete Paket Data","FAILURE","2022-12-22T18:52:48.485+07:00[Asia/Bangkok]","0.0","16.85"
"Edit Paket Data Simpati","Edit paket data simpati with correct value","SUCCESS","2022-12-22T18:53:08.914+07:00[Asia/Bangkok]","0.0","10.23"
"Edit Paket Data Simpati","Edit paket data simpati with no nama produk","SUCCESS","2022-12-22T18:53:20.202+07:00[Asia/Bangkok]","0.0","11.22"
"Edit Paket Data Simpati","Edit paket data simpati with no stock","SUCCESS","2022-12-22T18:53:32.578+07:00[Asia/Bangkok]","0.0","11.42"
"Edit Paket Data Simpati","Edit paket data simpati with no harga","SUCCESS","2022-12-22T18:53:45.016+07:00[Asia/Bangkok]","0.0","11.42"
"List Paket Data Simpati","View list all paket data simpati","SUCCESS","2022-12-22T18:53:57.659+07:00[Asia/Bangkok]","0.0","10.19"
"Add Paket Data Telkomsel","Add paket data telkomsel with correct value","SUCCESS","2022-12-22T18:54:09.701+07:00[Asia/Bangkok]","0.0","14.5"
"Add Paket Data Telkomsel","Add paket data telkomsel with no nama produk","SUCCESS","2022-12-22T18:54:26.923+07:00[Asia/Bangkok]","0.0","11.15"
"Add Paket Data Telkomsel","Add paket data telkomsel with no stock produk","SUCCESS","2022-12-22T18:54:39.139+07:00[Asia/Bangkok]","0.0","12.51"
"Add Paket Data Telkomsel","Add paket data telkomsel with no harga produk","SUCCESS","2022-12-22T18:54:52.74+07:00[Asia/Bangkok]","0.0","12.68"
"Delete Paket Data","Delete Paket Data","FAILURE","2022-12-22T18:55:08.3+07:00[Asia/Bangkok]","0.0","14.68"
"Edit Paket Data Telkomsel","Edit paket data telkomsel with correct value","FAILURE","2022-12-22T18:55:26.268+07:00[Asia/Bangkok]","0.0","14.6"
"Edit Paket Data Telkomsel","Edit paket data telkomsel with no nama produk","FAILURE","2022-12-22T18:55:41.964+07:00[Asia/Bangkok]","0.0","16.05"
"Edit Paket Data Telkomsel","Edit paket data telkomsel with no stock","FAILURE","2022-12-22T18:55:59.113+07:00[Asia/Bangkok]","0.0","16.45"
"Edit Paket Data Telkomsel","Edit paket data telkomsel with no harga","FAILURE","2022-12-22T18:56:18.586+07:00[Asia/Bangkok]","0.0","14.38"
