"Story","Title","Result","Date","Stability","Duration (s)"
"Add Paket Data Simpati","Add paket data simpati with correct value","SUCCESS","2022-12-22T18:51:50.7+07:00[Asia/Bangkok]","0.0","13.95"
"Add Paket Data Simpati","Add paket data simpati with no nama produk","SUCCESS","2022-12-22T18:52:05.723+07:00[Asia/Bangkok]","0.0","12.6"
"Add Paket Data Simpati","Add paket data simpati with no stock produk","SUCCESS","2022-12-22T18:52:21.462+07:00[Asia/Bangkok]","0.0","11.47"
"Add Paket Data Simpati","Add paket data simpati with no harga produk","SUCCESS","2022-12-22T18:52:34.079+07:00[Asia/Bangkok]","0.0","13.31"
"Delete Paket Data Simpati","Delete Paket Data","FAILURE","2022-12-22T18:52:48.485+07:00[Asia/Bangkok]","0.0","16.85"
"Edit Paket Data Simpati","Edit paket data simpati with correct value","SUCCESS","2022-12-22T18:53:08.914+07:00[Asia/Bangkok]","0.0","10.23"
"Edit Paket Data Simpati","Edit paket data simpati with no nama produk","SUCCESS","2022-12-22T18:53:20.202+07:00[Asia/Bangkok]","0.0","11.22"
"Edit Paket Data Simpati","Edit paket data simpati with no stock","SUCCESS","2022-12-22T18:53:32.578+07:00[Asia/Bangkok]","0.0","11.42"
"Edit Paket Data Simpati","Edit paket data simpati with no harga","SUCCESS","2022-12-22T18:53:45.016+07:00[Asia/Bangkok]","0.0","11.42"
"List Paket Data Simpati","View list all paket data simpati","SUCCESS","2022-12-22T18:53:57.659+07:00[Asia/Bangkok]","0.0","10.19"
