"Story","Title","Result","Date","Stability","Duration (s)"
"Add Paket Data Simpati","Add paket data simpati with correct value","SUCCESS","2022-12-22T18:51:50.7+07:00[Asia/Bangkok]","0.0","13.95"
"Add Paket Data Simpati","Add paket data simpati with no nama produk","SUCCESS","2022-12-22T18:52:05.723+07:00[Asia/Bangkok]","0.0","12.6"
"Add Paket Data Simpati","Add paket data simpati with no stock produk","SUCCESS","2022-12-22T18:52:21.462+07:00[Asia/Bangkok]","0.0","11.47"
"Add Paket Data Simpati","Add paket data simpati with no harga produk","SUCCESS","2022-12-22T18:52:34.079+07:00[Asia/Bangkok]","0.0","13.31"
"Edit Paket Data Simpati","Edit paket data simpati with correct value","SUCCESS","2022-12-22T18:53:08.914+07:00[Asia/Bangkok]","0.0","10.23"
"Edit Paket Data Simpati","Edit paket data simpati with no nama produk","SUCCESS","2022-12-22T18:53:20.202+07:00[Asia/Bangkok]","0.0","11.22"
"Edit Paket Data Simpati","Edit paket data simpati with no stock","SUCCESS","2022-12-22T18:53:32.578+07:00[Asia/Bangkok]","0.0","11.42"
"Edit Paket Data Simpati","Edit paket data simpati with no harga","SUCCESS","2022-12-22T18:53:45.016+07:00[Asia/Bangkok]","0.0","11.42"
"List Paket Data Simpati","View list all paket data simpati","SUCCESS","2022-12-22T18:53:57.659+07:00[Asia/Bangkok]","0.0","10.19"
"Add Paket Data Telkomsel","Add paket data telkomsel with correct value","SUCCESS","2022-12-22T18:54:09.701+07:00[Asia/Bangkok]","0.0","14.5"
"Add Paket Data Telkomsel","Add paket data telkomsel with no nama produk","SUCCESS","2022-12-22T18:54:26.923+07:00[Asia/Bangkok]","0.0","11.15"
"Add Paket Data Telkomsel","Add paket data telkomsel with no stock produk","SUCCESS","2022-12-22T18:54:39.139+07:00[Asia/Bangkok]","0.0","12.51"
"Add Paket Data Telkomsel","Add paket data telkomsel with no harga produk","SUCCESS","2022-12-22T18:54:52.74+07:00[Asia/Bangkok]","0.0","12.68"
"List Paket Data Telkomsel","View list all paket data telkomsel","SUCCESS","2022-12-22T18:56:34.093+07:00[Asia/Bangkok]","0.0","9.98"
"Riwayat transaksi user","View riwayat transaksi user","SUCCESS","2022-12-22T18:56:44.925+07:00[Asia/Bangkok]","0.0","8.22"
